training log: output/train_20260403_205642.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc20_2e-04LR.pt', 'init_from': 'models/sr_transformer_512x20_acc10_2e-04LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0001, 'max_steps': 100000, 'warmup_steps': 0, 'eval_every': 200, 'acc_steps': 20, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc10_2e-04LR.pt
step 50600 | train 3.6237 | val 3.7278 | ppl 41.59 | lr 9.99e-05
step 50800 | train 3.5595 | val 3.7204 | ppl 41.28 | lr 9.99e-05
step 51000 | train 3.6452 | val 3.7230 | ppl 41.39 | lr 9.99e-05
step 51200 | train 3.4969 | val 3.7333 | ppl 41.82 | lr 9.99e-05
step 51400 | train 3.6449 | val 3.7061 | ppl 40.69 | lr 9.99e-05
step 51600 | train 3.6146 | val 3.7246 | ppl 41.45 | lr 9.99e-05
step 51800 | train 3.5921 | val 3.7145 | ppl 41.04 | lr 9.99e-05
step 52000 | train 3.7114 | val 3.6983 | ppl 40.38 | lr 9.98e-05
step 52200 | train 3.6429 | val 3.7912 | ppl 44.31 | lr 9.98e-05
step 52400 | train 3.4984 | val 3.7220 | ppl 41.35 | lr 9.98e-05
step 52600 | train 3.7588 | val 3.7415 | ppl 42.16 | lr 9.98e-05
step 52800 | train 3.6402 | val 3.7180 | ppl 41.18 | lr 9.98e-05
step 53000 | train 3.6844 | val 3.7254 | ppl 41.49 | lr 9.98e-05
step 53200 | train 3.4937 | val 3.7109 | ppl 40.89 | lr 9.98e-05
step 53400 | train 3.4872 | val 3.7225 | ppl 41.37 | lr 9.98e-05
step 53600 | train 3.6479 | val 3.7070 | ppl 40.73 | lr 9.98e-05
step 53800 | train 3.6124 | val 3.7265 | ppl 41.53 | lr 9.98e-05
