training log: output/train_20260331_202920.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20.pt', 'init_from': None, 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0003, 'max_steps': 10000, 'warmup_steps': 300, 'eval_every': 50, 'acc_steps': 1, 'val_split': 0.1, 'device': 'cuda', 'seed': 42}
step 8150 | train 4.3269 | val 4.4193 | ppl 83.04 | lr 5.35e-05
step 8200 | train 4.3270 | val 4.4243 | ppl 83.45 | lr 5.23e-05
step 8250 | train 4.1939 | val 4.4243 | ppl 83.46 | lr 5.11e-05
step 8300 | train 4.3160 | val 4.4301 | ppl 83.94 | lr 5.00e-05
step 8350 | train 4.3254 | val 4.4235 | ppl 83.38 | lr 4.88e-05
step 8400 | train 4.2583 | val 4.4096 | ppl 82.24 | lr 4.77e-05
step 8450 | train 4.4518 | val 4.3881 | ppl 80.49 | lr 4.67e-05
step 8500 | train 4.3775 | val 4.4063 | ppl 81.97 | lr 4.56e-05
step 8550 | train 4.1789 | val 4.4142 | ppl 82.62 | lr 4.46e-05
step 8600 | train 4.2232 | val 4.3803 | ppl 79.86 | lr 4.36e-05
step 8650 | train 4.3608 | val 4.3774 | ppl 79.63 | lr 4.27e-05
step 8700 | train 4.4025 | val 4.4017 | ppl 81.59 | lr 4.18e-05
step 8750 | train 4.2447 | val 4.4154 | ppl 82.71 | lr 4.09e-05
step 8800 | train 4.3745 | val 4.4331 | ppl 84.19 | lr 4.01e-05
step 8850 | train 4.2041 | val 4.4195 | ppl 83.06 | lr 3.93e-05
step 8900 | train 4.2503 | val 4.3894 | ppl 80.59 | lr 3.85e-05
step 8950 | train 4.4029 | val 4.4328 | ppl 84.17 | lr 3.77e-05
step 9000 | train 4.1796 | val 4.4294 | ppl 83.88 | lr 3.70e-05
step 9050 | train 4.3392 | val 4.4225 | ppl 83.31 | lr 3.63e-05
step 9100 | train 4.3995 | val 4.4153 | ppl 82.70 | lr 3.57e-05
step 9150 | train 4.1968 | val 4.3430 | ppl 76.94 | lr 3.51e-05
step 9200 | train 4.2942 | val 4.3938 | ppl 80.95 | lr 3.45e-05
step 9250 | train 4.2956 | val 4.3643 | ppl 78.59 | lr 3.40e-05
step 9300 | train 4.2746 | val 4.3738 | ppl 79.34 | lr 3.35e-05
step 9350 | train 4.4779 | val 4.4078 | ppl 82.09 | lr 3.30e-05
step 9400 | train 4.3203 | val 4.3762 | ppl 79.54 | lr 3.25e-05
step 9450 | train 4.1813 | val 4.4198 | ppl 83.08 | lr 3.21e-05
step 9500 | train 4.3189 | val 4.3873 | ppl 80.42 | lr 3.18e-05
step 9550 | train 4.3273 | val 4.3993 | ppl 81.40 | lr 3.14e-05
step 9600 | train 4.2200 | val 4.3763 | ppl 79.54 | lr 3.11e-05
step 9650 | train 4.3511 | val 4.3832 | ppl 80.09 | lr 3.09e-05
step 9700 | train 4.4686 | val 4.4084 | ppl 82.14 | lr 3.06e-05
step 9750 | train 4.4159 | val 4.3978 | ppl 81.27 | lr 3.04e-05
step 9800 | train 4.2601 | val 4.3953 | ppl 81.07 | lr 3.03e-05
step 9850 | train 4.3239 | val 4.3665 | ppl 78.76 | lr 3.02e-05
step 9900 | train 4.3052 | val 4.4136 | ppl 82.56 | lr 3.01e-05
step 9950 | train 4.3064 | val 4.4047 | ppl 81.84 | lr 3.00e-05
step 10000 | train 4.3290 | val 4.3611 | ppl 78.34 | lr 3.00e-05
best val loss: 4.3430
saved to models/sr_transformer_512x20.pt
