training log: output/train_20260331_230036.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc5.pt', 'init_from': 'models/sr_transformer_512x20.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 3e-05, 'max_steps': 75000, 'warmup_steps': 300, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20.pt
step 9200 | train 4.2503 | val 4.3515 | ppl 77.59 | lr 3.00e-05
step 9250 | train 4.2586 | val 4.3207 | ppl 75.24 | lr 3.00e-05
step 9300 | train 4.2378 | val 4.3324 | ppl 76.13 | lr 3.00e-05
step 9350 | train 4.4409 | val 4.3680 | ppl 78.88 | lr 3.00e-05
step 9400 | train 4.2829 | val 4.3362 | ppl 76.42 | lr 3.00e-05
step 9450 | train 4.1392 | val 4.3801 | ppl 79.85 | lr 3.00e-05
step 9500 | train 4.2837 | val 4.3483 | ppl 77.35 | lr 3.00e-05
step 9550 | train 4.2899 | val 4.3607 | ppl 78.31 | lr 3.00e-05
step 9600 | train 4.1814 | val 4.3354 | ppl 76.35 | lr 3.00e-05
step 9650 | train 4.3150 | val 4.3437 | ppl 76.99 | lr 3.00e-05
step 9700 | train 4.4356 | val 4.3725 | ppl 79.25 | lr 3.00e-05
step 9750 | train 4.3810 | val 4.3609 | ppl 78.32 | lr 3.00e-05
step 9800 | train 4.2226 | val 4.3585 | ppl 78.14 | lr 3.00e-05
step 9850 | train 4.2879 | val 4.3307 | ppl 76.00 | lr 3.00e-05
step 9900 | train 4.2725 | val 4.3783 | ppl 79.70 | lr 3.00e-05
step 9950 | train 4.2743 | val 4.3670 | ppl 78.81 | lr 3.00e-05
step 10000 | train 4.2939 | val 4.3245 | ppl 75.53 | lr 3.00e-05
step 10050 | train 4.2674 | val 4.3506 | ppl 77.53 | lr 3.00e-05
step 10100 | train 4.1835 | val 4.3555 | ppl 77.91 | lr 3.00e-05
step 10150 | train 4.2879 | val 4.3472 | ppl 77.26 | lr 3.00e-05
step 10200 | train 4.4175 | val 4.3476 | ppl 77.29 | lr 3.00e-05
step 10250 | train 4.4121 | val 4.3599 | ppl 78.25 | lr 3.00e-05
step 10300 | train 4.2830 | val 4.3252 | ppl 75.58 | lr 3.00e-05
step 10350 | train 4.3237 | val 4.3355 | ppl 76.37 | lr 3.00e-05
step 10400 | train 4.2862 | val 4.3620 | ppl 78.42 | lr 3.00e-05
step 10450 | train 4.2575 | val 4.3662 | ppl 78.75 | lr 3.00e-05
step 10500 | train 4.2944 | val 4.3945 | ppl 81.01 | lr 3.00e-05
step 10550 | train 4.2628 | val 4.3479 | ppl 77.32 | lr 3.00e-05
step 10600 | train 4.2772 | val 4.3547 | ppl 77.85 | lr 3.00e-05
step 10650 | train 4.2304 | val 4.3609 | ppl 78.33 | lr 3.00e-05
step 10700 | train 4.3077 | val 4.3356 | ppl 76.37 | lr 3.00e-05
step 10750 | train 4.3000 | val 4.3437 | ppl 76.99 | lr 3.00e-05
step 10800 | train 4.2691 | val 4.3828 | ppl 80.06 | lr 3.00e-05
step 10850 | train 4.0805 | val 4.3460 | ppl 77.17 | lr 3.00e-05
step 10900 | train 4.3670 | val 4.3732 | ppl 79.29 | lr 3.00e-05
step 10950 | train 4.3577 | val 4.3649 | ppl 78.64 | lr 3.00e-05
step 11000 | train 4.2385 | val 4.3285 | ppl 75.83 | lr 3.00e-05
step 11050 | train 4.2193 | val 4.3787 | ppl 79.74 | lr 3.00e-05
step 11100 | train 4.3147 | val 4.3721 | ppl 79.21 | lr 3.00e-05
step 11150 | train 4.3126 | val 4.3319 | ppl 76.09 | lr 3.00e-05
step 11200 | train 4.1888 | val 4.3329 | ppl 76.17 | lr 3.00e-05
step 11250 | train 4.4338 | val 4.3247 | ppl 75.54 | lr 3.00e-05
step 11300 | train 4.2870 | val 4.3151 | ppl 74.82 | lr 3.00e-05
step 11350 | train 4.2461 | val 4.3410 | ppl 76.78 | lr 3.00e-05
step 11400 | train 4.3087 | val 4.3215 | ppl 75.31 | lr 3.00e-05
step 11450 | train 4.3181 | val 4.3771 | ppl 79.61 | lr 3.00e-05
step 11500 | train 4.3966 | val 4.3498 | ppl 77.46 | lr 3.00e-05
step 11550 | train 4.3392 | val 4.3471 | ppl 77.25 | lr 3.00e-05
step 11600 | train 4.2695 | val 4.3449 | ppl 77.08 | lr 3.00e-05
step 11650 | train 4.3010 | val 4.3472 | ppl 77.26 | lr 3.00e-05
step 11700 | train 4.2488 | val 4.3433 | ppl 76.96 | lr 3.00e-05
step 11750 | train 4.3479 | val 4.3709 | ppl 79.12 | lr 2.99e-05
step 11800 | train 4.3585 | val 4.3384 | ppl 76.58 | lr 2.99e-05
step 11850 | train 4.2485 | val 4.3604 | ppl 78.29 | lr 2.99e-05
step 11900 | train 4.2269 | val 4.3550 | ppl 77.86 | lr 2.99e-05
step 11950 | train 4.1251 | val 4.3229 | ppl 75.41 | lr 2.99e-05
step 12000 | train 4.2098 | val 4.3554 | ppl 77.89 | lr 2.99e-05
step 12050 | train 4.2148 | val 4.3831 | ppl 80.08 | lr 2.99e-05
step 12100 | train 4.3473 | val 4.3770 | ppl 79.60 | lr 2.99e-05
step 12150 | train 4.3273 | val 4.3697 | ppl 79.02 | lr 2.99e-05
step 12200 | train 4.3223 | val 4.3590 | ppl 78.18 | lr 2.99e-05
step 12250 | train 4.3842 | val 4.3503 | ppl 77.50 | lr 2.99e-05
step 12300 | train 4.2418 | val 4.3413 | ppl 76.80 | lr 2.99e-05
step 12350 | train 4.2814 | val 4.3467 | ppl 77.22 | lr 2.99e-05
step 12400 | train 4.2320 | val 4.3156 | ppl 74.86 | lr 2.99e-05
step 12450 | train 4.2963 | val 4.3515 | ppl 77.59 | lr 2.99e-05
step 12500 | train 4.3420 | val 4.3305 | ppl 75.98 | lr 2.99e-05
step 12550 | train 4.2782 | val 4.3553 | ppl 77.89 | lr 2.99e-05
step 12600 | train 4.1466 | val 4.3097 | ppl 74.42 | lr 2.99e-05
step 12650 | train 4.2607 | val 4.3350 | ppl 76.32 | lr 2.99e-05
step 12700 | train 4.2544 | val 4.3536 | ppl 77.76 | lr 2.99e-05
step 12750 | train 4.2100 | val 4.3429 | ppl 76.93 | lr 2.99e-05
step 12800 | train 4.3943 | val 4.3306 | ppl 75.99 | lr 2.99e-05
step 12850 | train 4.2048 | val 4.3253 | ppl 75.59 | lr 2.99e-05
step 12900 | train 4.1964 | val 4.3571 | ppl 78.03 | lr 2.99e-05
step 12950 | train 4.3402 | val 4.3089 | ppl 74.36 | lr 2.99e-05
step 13000 | train 4.2135 | val 4.3664 | ppl 78.76 | lr 2.99e-05
step 13050 | train 4.2539 | val 4.3402 | ppl 76.72 | lr 2.99e-05
step 13100 | train 4.2822 | val 4.3049 | ppl 74.06 | lr 2.99e-05
step 13150 | train 4.1991 | val 4.3342 | ppl 76.26 | lr 2.99e-05
step 13200 | train 4.2298 | val 4.3339 | ppl 76.24 | lr 2.99e-05
step 13250 | train 4.2716 | val 4.3375 | ppl 76.52 | lr 2.99e-05
step 13300 | train 4.2783 | val 4.3220 | ppl 75.34 | lr 2.99e-05
step 13350 | train 4.3566 | val 4.3360 | ppl 76.40 | lr 2.99e-05
step 13400 | train 4.4034 | val 4.3325 | ppl 76.13 | lr 2.99e-05
step 13450 | train 4.3691 | val 4.3221 | ppl 75.35 | lr 2.99e-05
step 13500 | train 4.1536 | val 4.3475 | ppl 77.29 | lr 2.99e-05
step 13550 | train 4.2174 | val 4.3741 | ppl 79.37 | lr 2.99e-05
step 13600 | train 4.3333 | val 4.3361 | ppl 76.41 | lr 2.99e-05
step 13650 | train 4.2588 | val 4.3138 | ppl 74.72 | lr 2.99e-05
step 13700 | train 4.3652 | val 4.3359 | ppl 76.39 | lr 2.99e-05
step 13750 | train 4.3350 | val 4.3557 | ppl 77.92 | lr 2.99e-05
step 13800 | train 4.3322 | val 4.2962 | ppl 73.42 | lr 2.99e-05
step 13850 | train 4.3050 | val 4.3643 | ppl 78.59 | lr 2.99e-05
step 13900 | train 4.3811 | val 4.3216 | ppl 75.31 | lr 2.99e-05
step 13950 | train 4.2596 | val 4.3450 | ppl 77.09 | lr 2.99e-05
step 14000 | train 4.2400 | val 4.3112 | ppl 74.53 | lr 2.99e-05
step 14050 | train 4.2487 | val 4.3496 | ppl 77.45 | lr 2.99e-05
step 14100 | train 4.3448 | val 4.3010 | ppl 73.77 | lr 2.99e-05
step 14150 | train 4.2187 | val 4.3252 | ppl 75.58 | lr 2.99e-05
step 14200 | train 4.2803 | val 4.3161 | ppl 74.90 | lr 2.99e-05
step 14250 | train 4.3118 | val 4.3211 | ppl 75.27 | lr 2.99e-05
step 14300 | train 4.1964 | val 4.3451 | ppl 77.10 | lr 2.99e-05
step 14350 | train 4.2759 | val 4.3424 | ppl 76.89 | lr 2.99e-05
step 14400 | train 4.3041 | val 4.3315 | ppl 76.06 | lr 2.99e-05
step 14450 | train 4.3204 | val 4.3294 | ppl 75.90 | lr 2.99e-05
step 14500 | train 4.1093 | val 4.3339 | ppl 76.24 | lr 2.99e-05
step 14550 | train 4.3818 | val 4.3189 | ppl 75.11 | lr 2.99e-05
step 14600 | train 4.1769 | val 4.3395 | ppl 76.67 | lr 2.99e-05
step 14650 | train 4.0960 | val 4.3340 | ppl 76.25 | lr 2.99e-05
step 14700 | train 4.2234 | val 4.3279 | ppl 75.79 | lr 2.99e-05
step 14750 | train 4.3109 | val 4.3203 | ppl 75.21 | lr 2.99e-05
step 14800 | train 4.4327 | val 4.3311 | ppl 76.02 | lr 2.99e-05
step 14850 | train 4.0433 | val 4.2953 | ppl 73.36 | lr 2.99e-05
